"学校","专业组","专业代码","专业名称","专业类","梯队/桶","原风险色","原风险标签"
"徐州医科大学","徐州医科大学06","23","假肢矫形工程(报考该专业组部分专业有色觉要求,具体请查阅院校招生章程)","生物医学工程类","医工交叉","red","高危刺客"
"徐州医科大学","徐州医科大学06","24","生物医学工程(报考该专业组部分专业有色觉要求,具体请查阅院校招生章程)","生物医学工程类","医工交叉","red","高危刺客"
"徐州医科大学","徐州医科大学06","25","医疗器械与装备工程(报考该专业组部分专业有色觉要求,具体请查阅院校招生章程)","交叉学科类","医工交叉","red","高危刺客"
"徐州医科大学","徐州医科大学06","26","智能医学工程(报考该专业组部分专业有色觉要求,具体请查阅院校招生章程)","交叉学科类","医工交叉","red","高危刺客"
"苏州职业技术大学","苏州职业技术大学03","31","无人机系统应用技术(以下专业在校本部学习)","航空装备类","航空航天","yellow","边缘专业"
"南通大学","南通大学06","22","机械电子工程(以下专业除注明外在啬园校区学习)(地方专项计划)","机械类","机械","yellow","边缘专业"
"南通大学","南通大学06","34","智能医学工程(启秀校区)(报考该专业有色觉要求,具体请查阅院校招生章程)(以下专业除注明外在啬园校区学习)(地方专项计划)","交叉学科类","医工交叉","yellow","边缘专业"
"盐城工学院","盐城工学院04","35","机械电子工程","机械类","机械","gray","整体偏冷"
"盐城工学院","盐城工学院04","37","过程装备与控制工程(报考该专业有色觉要求,具体请查阅院校招生章程)","机械类","机械","gray","整体偏冷"
"泰州学院","泰州学院07","47","药品质量管理(报考该专业有色觉要求,具体请查阅院校招生章程)(以下专业为本科层次职业教育专业,详询院校)","药品与医疗器械类","医工交叉","red","高危刺客"
"宿迁学院","宿迁学院05","31","机械电子工程","机械类","机械","yellow","边缘专业"
"宿迁学院","宿迁学院05","43","材料成型及控制工程","机械类","机械","yellow","边缘专业"
"宿迁学院","宿迁学院05","45","新能源汽车工程","机械类","机械","yellow","边缘专业"
"南通大学杏林学院","南通大学杏林学院04","30","经济统计学(以下专业在启东市近海镇南海路1号学习)","经济学类","统计","orange","中危刺客"
"南京传媒学院","南京传媒学院05","25","智能交互设计","机械类","机械","orange","中危刺客"
"复旦大学","复旦大学05","27","工科试验班(生物医学工程与技术创新学院)(生物医学工程)(含生物医学工程+信息与计算科学(人工智能方向)双学士学位)(报考该专业组高考投档成绩须达到特殊类型招生控制线上70分(含))(高校专项计划)","工科试验班类","医工交叉","blue","待拆解"
"复旦大学","复旦大学07","38","工科试验班(相辉学堂香农计划)(人工智能、集成电路科学与工程、智能科学与技术、生物医学工程、电子信息科学与技术、材料科学与工程)(含集成电路、计算与智能、智能机器人与先进制造、生物医学工程、未来信息、智能材料与未来能源领军人才班)","工科试验班类","医工交叉","blue","待拆解"
"复旦大学","复旦大学07","46","工科试验班(生物医学工程领军人才班)(生物医学工程)(含脑机智能学方向)","工科试验班类","医工交叉","blue","待拆解"
"复旦大学","复旦大学07","48","工科试验班(未来信息创新学院)(电子信息科学与技术、通信工程、光电信息科学与工程)(含未来信息产教融合班;含光电信息科学与工程+信息与计算科学(人工智能方向)、电子信息科学与技术+信息与计算科学(人工智能方向)双学士学位)","工科试验班类","光电","blue","待拆解"
"同济大学","同济大学05","11","工科试验班(卓越计划班)(含机器人、工程互联网、智能网联交通(智能网联车辆、低空技术与工程)、智慧空间四个领域,领域内专业任选)","工科试验班类","机械","blue","待拆解"
"上海交通大学","上海交通大学06","25","工科试验班类(生医工学院,智能医学工程试点班)(生物医学工程)","工科试验班类","医工交叉","blue","待拆解"
"上海交通大学","上海交通大学06","28","工科试验班类(机电类)(机械类、航空航天工程、智慧能源工程、可持续能源)(含机械动力类+数学与应用数学、能源与动力工程+化学双学士学位)","工科试验班类","机械","blue","待拆解"
"华东理工大学","华东理工大学03","27","物理学类(应用物理学、光电信息科学与工程)(以下专业在奉贤校区和徐汇校区学习,新生入校后首先进入奉贤校区就读,后续阶段根据学校发展规划及专业特点,适时调整就读校区。报考该专业组部分专业有色觉等要求,具体请查阅院校招生章程)","物理学类","光电","yellow","边缘专业"
"东华大学","东华大学04","32","工业设计(以下专业除注明外在松江校区学习)","机械类","机械","yellow","边缘专业"
"上海科技大学","上海科技大学01","08","生物医学工程(以下专业只招收该校测试合格的考生,且满足所有被录取考生第一专业志愿)","生物医学工程类","医工交叉","yellow","边缘专业"
"上海科技大学","上海科技大学01","09","工业设计(以下专业只招收该校测试合格的考生,且满足所有被录取考生第一专业志愿)","机械类","机械","yellow","边缘专业"
"浙江大学","浙江大学04","12","理科试验班(数学类)(数学与应用数学、信息与计算科学、统计学)(高校专项计划)","理科试验班类","统计","blue","待拆解"
"浙江大学","浙江大学04","17","飞行器设计与工程(高校专项计划)","航空航天类","航空航天","yellow","边缘专业"
"浙江大学","浙江大学05","19","工科试验班(竺可桢学院混合班)(计算机科学与技术、软件工程、信息安全、人工智能、光电信息科学与工程、电子科学与技术、微电子科学与工程、信息工程、自动化、机械工程、电气工程及其自动化、电子信息工程、储能科学与工程)(理工类专业任选)","工科试验班类","光电","blue","待拆解"
"浙江大学","浙江大学05","22","工科试验班(自动化与光电)(自动化、光电信息科学与工程)","工科试验班类","光电","blue","待拆解"
"浙江大学","浙江大学05","26","工科试验班(脑机智能创新班)(心理学、生物医学工程)","工科试验班类","医工交叉","blue","待拆解"
"浙江理工大学","浙江理工大学05","14","工业设计(临平校区)(以下专业除注明外在下沙校区学习)","机械类","机械","gray","整体偏冷"
"浙江理工大学","浙江理工大学05","19","机械电子工程(以下专业除注明外在下沙校区学习)","机械类","机械","gray","整体偏冷"
"杭州师范大学","杭州师范大学03","12","工业设计(下沙校区)(以下专业除注明外第一学年在下沙校区学习,第二学年起在仓前校区学习)","机械类","机械","yellow","边缘专业"
"宁波大学","宁波大学03","06","临床医学","临床医学类","医学","yellow","边缘专业"
"宁波大学","宁波大学03","07","口腔医学","口腔医学类","医学","yellow","边缘专业"
"嘉兴大学","嘉兴大学02","08","临床医学(以下专业在梁林校区学习)","临床医学类","医学","yellow","边缘专业"
"嘉兴大学","嘉兴大学02","10","麻醉学(以下专业在梁林校区学习)","临床医学类","医学","yellow","边缘专业"
"湖州师范大学","湖州师范大学03","10","临床医学(报考该专业有色觉要求,具体请查阅院校招生章程)","临床医学类","医学","yellow","边缘专业"
"温州理工学院","温州理工学院01","04","机械工程(乐清校区)(以下专业除注明外在滨海校区学习)","机械类","机械","yellow","边缘专业"
"中国科学技术大学","中国科学技术大学02","11","生物科学类(生物科学、生物技术、临床医学(五年制))(教育部基础学科拔尖学生培养基地,中国科学院基础和前沿交叉学科人才培养工程实施基地。设贝时璋生命科技英才班、临床医学英才班)","生物科学类","医学","orange","中危刺客"
"合肥工业大学","合肥工业大学06","27","生物医学工程(报考该专业有色觉等要求,具体请查阅院校招生章程)(以下专业在合肥校区学习)","生物医学工程类","医工交叉","yellow","边缘专业"
"安徽农业大学","安徽农业大学02","26","智能车辆工程","机械类","机械","yellow","边缘专业"
"安徽工程大学","安徽工程大学01","04","材料成型及控制工程","机械类","机械","gray","整体偏冷"
"安徽师范大学","安徽师范大学05","29","统计学(以下专业在花津校区学习)","统计学类","统计","yellow","边缘专业"
"安徽理工大学","安徽理工大学04","09","应用统计学(以下专业除注明外在校本部学习)","统计学类","统计","yellow","边缘专业"
"安徽理工大学","安徽理工大学04","36","临床医学(以下专业除注明外在校本部学习)","临床医学类","医学","yellow","边缘专业"
"宿州学院","宿州学院03","04","过程装备与控制工程(以下专业在教育园区校区学习)","机械类","机械","yellow","边缘专业"
"巢湖学院","巢湖学院03","08","机械电子工程","机械类","机械","yellow","边缘专业"
"华侨大学","华侨大学04","29","机械工程(以下专业除注明外在厦门校区学习)","机械类","机械","yellow","边缘专业"
"华侨大学","华侨大学04","30","工业设计(以下专业除注明外在厦门校区学习)","机械类","机械","yellow","边缘专业"
"华侨大学","华侨大学04","31","车辆工程(以下专业除注明外在厦门校区学习)","机械类","机械","yellow","边缘专业"
"南昌航空大学","南昌航空大学04","10","工业设计(以下专业在上海路校区学习)","机械类","机械","orange","中危刺客"
"南昌航空大学","南昌航空大学06","32","生物医学工程(报考该专业有色觉要求,具体请查阅院校招生章程)(以下专业在前湖校区学习)(中外合作办学)","生物医学工程类","医工交叉","red","高危刺客"
"江西师范大学","江西师范大学18","52","统计学(报考该专业组部分专业有色觉要求,具体请查阅院校招生章程。以下专业在瑶湖校区学习)","统计学类","统计","yellow","边缘专业"
"江西师范大学","江西师范大学18","54","过程装备与控制工程(报考该专业组部分专业有色觉要求,具体请查阅院校招生章程。以下专业在瑶湖校区学习)","机械类","机械","yellow","边缘专业"
"江西水利电力大学","江西水利电力大学04","21","应用统计学(以下专业在瑶湖校区学习)","统计学类","统计","yellow","边缘专业"
"江西水利电力大学","江西水利电力大学04","22","光电信息材料与器件(以下专业在瑶湖校区学习)","材料类","光电","yellow","边缘专业"
"东华理工大学","东华理工大学03","26","机械工程(南昌校区)(中外合作办学)","机械类","机械","orange","中危刺客"
"山东理工大学","山东理工大学02","03","统计学","统计学类","统计","yellow","边缘专业"
"山东理工大学","山东理工大学02","04","车辆工程","机械类","机械","yellow","边缘专业"
"青岛理工大学","青岛理工大学06","19","新能源汽车工程(以下专业在黄岛校区学习)","机械类","机械","yellow","边缘专业"
"青岛理工大学","青岛理工大学06","22","材料成型及控制工程(以下专业在黄岛校区学习)","机械类","机械","yellow","边缘专业"
"青岛理工大学","青岛理工大学06","26","车辆工程(以下专业在黄岛校区学习)","机械类","机械","yellow","边缘专业"
"青岛大学","青岛大学03","18","临床医学(报考该专业有色觉要求,具体请查阅院校招生章程)(以下专业在浮山校区学习)","临床医学类","医学","yellow","边缘专业"
"鲁东大学","鲁东大学03","13","车辆工程","机械类","机械","yellow","边缘专业"
"北京大学","北京大学07","35","工科试验班类(理论与应用力学、工程力学、能源与环境系统工程、航空航天工程、生物医学工程、材料科学与工程)","工科试验班类","医工交叉","blue","待拆解"
"清华大学","清华大学05","11","理科试验班(数理类)(数学与应用数学、物理学、数理基础科学、工程物理(含能源实验班)、统计学)(高校专项计划)","理科试验班类","统计","blue","待拆解"
"清华大学","清华大学05","13","临床医学类(协和)(临床医学)(八年制)(高校专项计划)","临床医学类","医学","yellow","边缘专业"
"清华大学","清华大学05","21","理科试验班(至善书院)(统计学等专业)(高校专项计划)","理科试验班类","统计","blue","待拆解"
"清华大学","清华大学06","27","理科试验班(数理类)I数学与应用数学、物璟学、数理基础科学、工程物理(含能源实验班)、统计学)","理科试验班类","统计","blue","待拆解"
"清华大学","清华大学06","29","理科试验班(法学院、至善书院、外文实验班等)(统计学等专业)","理科试验班类","统计","blue","待拆解"
"清华大学","清华大学06","30","临床医学类(卓越医师科学家)(八年制)(临床医学)","临床医学类","医学","yellow","边缘专业"
"清华大学","清华大学06","31","临床医学类(协和)(临床医学)(八年制)","临床医学类","医学","yellow","边缘专业"
"北京交通大学","北京交通大学09","14","理科试验班(含系统科学与工程(智能交通系统拔尖班)、信息与计算科学(数学拔尖班)、信息与计算科学、统计学等7个专业)(以下按大类招生专业,所含专业详见院校招生网;第一、二学年在北京校区学习,第三学年起在雄安校区学习)","理科试验班类","统计","blue","待拆解"
"北京航空航天大学","北京航空航天大学03","09","工科试验班类(医工交叉试验班)(生物医学工程、智能医学工程)(报考该专业有色觉要求,具体请查阅院校招生章程)(以下按大类招生专业,所含专业详见院校招生网,专业除注明外在学院路校区学习)","工科试验班类","医工交叉","blue","待拆解"
"北京理工大学","北京理工大学04","09","工科试验班(航空航天与机电类)(含低空技术与工程、飞行器设计与工程、飞行器动力工程、航空航天工程等12个专业)(以下按大类招生专业,所含专业详见院校招生网)","工科试验班类","航空航天","blue","待拆解"
"北京理工大学","北京理工大学04","12","工科试验班(电子信息实验班)(含电子信息工程、通信工程、光电信息科学与工程、测控技术与仪器等7个专业)(以下按大类招生专业,所含专业详见院校招生网)","工科试验班类","光电","blue","待拆解"
"北京化工大学","北京化工大学06","26","理科试验班(数学统计类)(应用统计学、数学与应用数学、信息与计算科学)(以下专业在朝阳校区/昌平校区学习,详询院校)","理科试验班类","统计","blue","待拆解"
"北京邮电大学","北京邮电大学06","16","智能医学工程(以下专业部分课程采用英语授课,在海南省陵水黎族自治县黎安国际教育创新试验区学习)(中外合作办学)","交叉学科类","医工交叉","yellow","边缘专业"
"中国石油大学(北京)","中国石油大学(北京)04","15","过程装备与控制工程","机械类","机械","yellow","边缘专业"
"中国矿业大学(北京)","中国矿业大学(北京)03","19","机械工程","机械类","机械","yellow","边缘专业"
"北京工业大学","北京工业大学01","05","工业设计(报考该专业有色觉要求,具体请查阅院校招生章程)(以下专业除注明外第一学年在通州校区学习,第二学年起根据学校规划安排在平乐园校区或房山校区学习)","机械类","机械","yellow","边缘专业"
"中国科学院大学","中国科学院大学01","16","航空航天工程(以下专业只招收该校测试合格的考生,在雁栖湖校区学习)","航空航天类","航空航天","yellow","边缘专业"
"南开大学","南开大学04","09","工科试验班(卓越拔尖计划伯苓班)(计算机科学与技术、智能科学与技术、光电信息科学与工程)(津南校区)(本专业大类内专业任选)(以下专业除注明外在八里台校区、津南校区学习)","工科试验班类","光电","blue","待拆解"
"南开大学","南开大学04","11","工科试验班(未来产业精英)(智能科学与技术(具身与行为智能特色班)、智能医学工程(脑机接口特色班)、新能源科学与工程(数智能源特色班)、材料化学(新材料特色班)、生物技术(生物智造特色班))(本专业大类内专业任选)(以下专业除注明外在八里台校区、津南校区学习)","工科试验班类","医工交叉","blue","待拆解"
"南开大学","南开大学04","14","理科试验班(物理与光电信息技术工程)(物理学、应用物理学、光电信息科学与工程、电子信息科学与技术、微电子科学与工程、电子科学与技术、通信工程)(本专业大类内专业任选)(以下专业除注明外在八里台校区、津南校区学习)","理科试验班类","光电","blue","待拆解"
"天津大学","天津大学04","09","工科试验班(国家试点学院精仪与光电信息类)(测控技术与仪器、电子科学与技术(光电子技术)、光电信息科学与工程、智能感知工程)(大类分流专业任选)(含精仪王守融班)(以下专业在北洋园校区学习)","工科试验班类","光电","blue","待拆解"
"中国民航大学","中国民航大学04","11","应用气象学(航空气象)(以下专业除注明外在东丽校区学习)","大气科学类","航空航天","orange","中危刺客"
"中国民航大学","中国民航大学04","18","工科试验班(低空技术与无人机系统类)(无人驾驶航空器系统工程、低空技术与工程)(宁河校区)(以下专业除注明外在东丽校区学习)","工科试验班类","航空航天","blue","待拆解"
"天津工业大学","天津工业大学04","14","生物医学工程(报考该专业有色觉要求,具体请查阅院校招生章程)","生物医学工程类","医工交叉","orange","中危刺客"
"天津工业大学","天津工业大学04","15","数学类(数学与应用数学、信息与计算科学、应用统计学)","数学类","统计","yellow","边缘专业"
"天津工业大学","天津工业大学04","16","光电信息科学与工程","电子信息类","光电","yellow","边缘专业"
"天津工业大学","天津工业大学06","37","智能医学工程(报考该专业有色觉要求,具体请查阅院校招生章程)","交叉学科类","医工交叉","orange","中危刺客"
"河北地质大学","河北地质大学03","16","数学类(数学与应用数学、信息与计算科学、应用统计学)","数学类","统计","yellow","边缘专业"
"河北工业大学","河北工业大学05","20","智能医学工程","交叉学科类","医工交叉","orange","中危刺客"
"华北电力大学(保定)","华北电力大学(保定)06","25","机械工程(输电线路工程)","机械类","机械","yellow","边缘专业"
"燕山大学","燕山大学02","22","智能医学工程","交叉学科类","医工交叉","yellow","边缘专业"
"衡水学院","衡水学院08","08","机械电子工程","机械类","机械","orange","中危刺客"
"山西农业大学","山西农业大学04","26","车辆工程","机械类","机械","yellow","边缘专业"
"内蒙古大学","内蒙古大学04","08","机械工程(玉泉校区)(以下专业除注明外在赛罕校区学习)","机械类","机械","yellow","边缘专业"
"东北大学","东北大学05","28","生物医学工程(该专业部分课程采用英文教材和英语授课)(以下专业在校本部学习)","生物医学工程类","医工交叉","orange","中危刺客"
"大连理工大学(盘锦校区)","大连理工大学(盘锦校区)04","13","生物医学工程(报考该专业有色觉要求,具体请查阅院校招生章程)(与澳大利亚昆士兰科技大学合作,部分课程采用英语授课)(中外合作办学)","生物医学工程类","医工交叉","red","高危刺客"
"吉林工商学院","吉林工商学院03","14","机械电子工程(以下专业在校本部学习)","机械类","机械","yellow","边缘专业"
"哈尔滨工程大学","哈尔滨工程大学05","13","航空航天类(含低空技术与工程、飞行器设计与工程、飞行器动力工程等专业)(本专业类内任选专业)(以下专业在校本部学习)","航空航天类","航空航天","yellow","边缘专业"
"哈尔滨职业技术大学","哈尔滨职业技术大学01","01","无人机系统应用技术(以下专业在校本部学习)","航空装备类","航空航天","yellow","边缘专业"
"华北水利水电大学","华北水利水电大学01","13","统计学(第一学年在江淮校区学习,第二学年起在龙子湖校区学习)(以下专业除注明外在龙子湖校区学习)","统计学类","统计","yellow","边缘专业"
"郑州轻工业大学","郑州轻工业大学02","12","智能车辆工程(东风校区)(以下专业除注明外在科学校区学习)","机械类","机械","yellow","边缘专业"
"郑州轻工业大学","郑州轻工业大学02","14","微机电系统工程(东风校区)(以下专业除注明外在科学校区学习)","机械类","机械","yellow","边缘专业"
"河南工程学院","河南工程学院04","15","材料成型及控制工程(龙湖校区)(以下专业除注明外在桐柏路校区学习)","机械类","机械","gray","整体偏冷"
"河南科技大学","河南科技大学06","13","材料成型及控制工程(以下专业在开元校区学习)(中外合作办学)","机械类","机械","yellow","边缘专业"
"河南科技大学","河南科技大学06","16","生物医学工程(以下专业在开元校区学习)(中外合作办学)","生物医学工程类","医工交叉","yellow","边缘专业"
"新乡学院","新乡学院04","08","应用统计学","统计学类","统计","yellow","边缘专业"
"许昌学院","许昌学院03","09","机械电子工程(以下专业在校本部学习)","机械类","机械","orange","中危刺客"
"武汉大学","武汉大学11","53","口腔医学(5+3一体化)(报考该专业有色觉要求,具体请查阅院校招生章程)","口腔医学类","医学","yellow","边缘专业"
"武汉大学","武汉大学11","54","临床医学(泰康自强班)(培养模式详询院校)(报考该专业有色觉要求,具体请查阅院校招生章程)","临床医学类","医学","yellow","边缘专业"
"武汉大学","武汉大学11","55","临床医学(5+3一体化)(报考该专业有色觉要求,具体请查阅院校招生章程)","临床医学类","医学","yellow","边缘专业"
"华中科技大学","华中科技大学06","27","生物医学工程(医工交叉启明实验班)","生物医学工程类","医工交叉","orange","中危刺客"
"华中科技大学","华中科技大学06","30","生物医学工程类(生物医学工程、生物信息学)","生物医学工程类","医工交叉","orange","中危刺客"
"华中农业大学","华中农业大学04","31","光电信息科学与工程(报考该专业组部分专业有色觉要求,具体请查阅院校招生章程)","电子信息类","光电","yellow","边缘专业"
"中南民族大学","中南民族大学07","27","医学信息工程","电子信息类","医工交叉","yellow","边缘专业"
"中南民族大学","中南民族大学07","28","智能医学工程(报考该专业有色觉要求,具体请查阅院校招生章程)","交叉学科类","医工交叉","yellow","边缘专业"
"湖北中医药大学","湖北中医药大学08","44","智能医学工程(以下专业在黄家湖校区学习)","交叉学科类","医工交叉","yellow","边缘专业"
"湖北中医药大学","湖北中医药大学08","45","医学信息工程(以下专业在黄家湖校区学习)","电子信息类","医工交叉","yellow","边缘专业"
"武汉纺织大学","武汉纺织大学02","09","生物医学工程(以下专业在阳光校区学习)","生物医学工程类","医工交叉","orange","中危刺客"
"武汉轻工大学","武汉轻工大学04","10","机械类(以下专业在常青校区学习)","机械类","机械","yellow","边缘专业"
"长江大学","长江大学03","19","光电信息科学与工程(以下专业除注明外在荆州校区学习)","电子信息类","光电","yellow","边缘专业"
"长江大学","长江大学03","26","临床医学(以下专业除注明外在荆州校区学习)","临床医学类","医学","yellow","边缘专业"
"三峡大学","三峡大学03","10","材料成型及控制工程","机械类","机械","yellow","边缘专业"
"湖北理工学院","湖北理工学院03","15","临床医学(报考该专业有色觉要求,具体请查阅院校招生章程)","临床医学类","医学","yellow","边缘专业"
"湖北民族大学","湖北民族大学02","04","临床医学","临床医学类","医学","yellow","边缘专业"
"湖北科技学院","湖北科技学院02","12","光电信息科学与工程","电子信息类","光电","yellow","边缘专业"
"湖南大学","湖南大学07","26","生物技术(含生物技术、生物医学工程,本专业类内分流任选;入校后可选拔进入生物技术+计算机科学与技术(双学士学位)专业、理科试验班)","生物科学类","医工交叉","yellow","边缘专业"
"中南大学","中南大学07","29","工科试验班(生物医药类智慧创新班)(生物信息学、药学、生物医学工程)(“急需人才培养周期缩短路径”改革试点,大类内专业任选;录取有体检要求,具体参见学校章程)","工科试验班类","医工交叉","blue","待拆解"
"湖南工程学院","湖南工程学院05","24","机械电子工程(中外合作办学)","机械类","机械","orange","中危刺客"
"南华大学","南华大学03","40","临床医学(以下专业除注明外在红湘校区学习)","临床医学类","医学","yellow","边缘专业"
